species_name,Fruittype,Growthform,Tropic,Temperate,Subtropic,Genus,Family,Order
Arisaema_speciosum,fleshy,herb,Absence,Temperate,Subtropic,Arisaema,Araceae,Alismatales
Arisaema_lobatum,fleshy,herb,Absence,Temperate,Subtropic,Arisaema,Araceae,Alismatales
Arisaema_jingdongense,fleshy,herb,Absence,Absence,Subtropic,Arisaema,Araceae,Alismatales
Arisaema_griffithii,fleshy,herb,Absence,Temperate,Subtropic,Arisaema,Araceae,Alismatales
Arisaema_yunnanense,fleshy,herb,Tropic,Temperate,Subtropic,Arisaema,Araceae,Alismatales
Arisaema_prazeri,fleshy,herb,Tropic,Absence,Absence,Arisaema,Araceae,Alismatales
Arisaema_petiolulatum,fleshy,herb,Tropic,Absence,Subtropic,Arisaema,Araceae,Alismatales
Arisaema_lackneri,fleshy,herb,Tropic,Absence,Absence,Arisaema,Araceae,Alismatales
Arisaema_consanguineum,fleshy,herb,Tropic,Absence,Subtropic,Arisaema,Araceae,Alismatales
Arisaema_bannaense,fleshy,herb,Tropic,Absence,Absence,Arisaema,Araceae,Alismatales
Arisaema_austroyunnanense,fleshy,herb,Tropic,Absence,Absence,Arisaema,Araceae,Alismatales
Arisaema_erubescens,fleshy,herb,Absence,Temperate,Subtropic,Arisaema,Araceae,Alismatales
Arisaema_tortuosum,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_franchetianum,fleshy,herb,Absence,Temperate,Absence,Arisaema,Araceae,Alismatales
Arisaema_amurense,fleshy,herb,Absence,Absence,Subtropic,Arisaema,Araceae,Alismatales
Typhonium_flagelliforme,fleshy,herb,Tropic,Absence,Absence,Typhonium,Araceae,Alismatales
Typhonium_trilobatum,fleshy,herb,Tropic,Absence,Absence,Typhonium,Araceae,Alismatales
Sauromatum_venosum,fleshy,herb,Absence,Temperate,Absence,Sauromatum,Araceae,Alismatales
Amorphophallus_yuloensis,fleshy,herb,Tropic,Absence,Absence,Amorphophallus,Araceae,Alismatales
Amorphophallus_kachinensis,fleshy,herb,Tropic,Temperate,Absence,Amorphophallus,Araceae,Alismatales
Amorphophallus_yunnanensis,fleshy,herb,Tropic,Absence,Subtropic,Amorphophallus,Araceae,Alismatales
Amorphophallus_krausei,fleshy,herb,Tropic,Absence,Absence,Amorphophallus,Araceae,Alismatales
Amorphophallus_paeoniifolius,fleshy,herb,Tropic,Absence,Absence,Amorphophallus,Araceae,Alismatales
Stemona_mairei,dry,herb,Tropic,Temperate,Absence,Stemona,Stemonaceae,Pandanales
Stemona_tuberosa,dry,herb,Tropic,Temperate,Subtropic,Stemona,Stemonaceae,Pandanales
Pandanus_furcatus,fleshy,wood,Tropic,Absence,Absence,Pandanus,Pandanaceae,Pandanales
Pandanus_tectorius,fleshy,wood,Absence,Absence,Subtropic,Pandanus,Pandanaceae,Pandanales
Aletris_pauciflora,dry,herb,Absence,Temperate,Absence,Aletris,Nartheciaceae,Dioscoreales
Aletris_alpestris,dry,herb,Absence,Temperate,Absence,Aletris,Nartheciaceae,Dioscoreales
Aletris_cinerascens,dry,herb,Absence,Absence,Subtropic,Aletris,Nartheciaceae,Dioscoreales
Aletris_stenoloba,dry,herb,Absence,Temperate,Subtropic,Aletris,Nartheciaceae,Dioscoreales
Aletris_spicata,dry,herb,Absence,Temperate,Absence,Aletris,Nartheciaceae,Dioscoreales
Aletris_glabra,dry,herb,Absence,Temperate,Absence,Aletris,Nartheciaceae,Dioscoreales
Burmannia_wallichii,dry,herb,Tropic,Absence,Absence,Burmannia,Burmanniaceae,Dioscoreales
Burmannia_disticha,dry,herb,Tropic,Absence,Absence,Burmannia,Burmanniaceae,Dioscoreales
Burmannia_coelestis,dry,herb,Tropic,Absence,Subtropic,Burmannia,Burmanniaceae,Dioscoreales
Dioscorea_nanlaensis,dry,herb,Absence,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_deltoidea,dry,herb,Absence,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_althaeoides,dry,herb,Absence,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_yunnanensis,dry,herb,Tropic,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_velutipes,dry,herb,Tropic,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_panthaica,dry,herb,Tropic,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_menglaensis,dry,herb,Tropic,Absence,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_martini,dry,herb,Tropic,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_hemsleyi,dry,herb,Tropic,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_garrettii,dry,herb,Tropic,Absence,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_cumingii,dry,herb,Tropic,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_chingii,dry,herb,Tropic,Absence,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_biformifolia,dry,wood,Tropic,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_aspersa,dry,herb,Tropic,Absence,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Tacca_chantrieri,fleshy,herb,Tropic,Absence,Absence,Tacca,Dioscoreaceae,Dioscoreales
Tacca_integrifolia,fleshy,herb,Tropic,Absence,Absence,Tacca,Dioscoreaceae,Dioscoreales
Dioscorea_collettii,dry,herb,Tropic,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_sinoparviflora,dry,herb,Absence,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_zingiberensis,dry,herb,Absence,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_tentaculigera,dry,herb,Tropic,Absence,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_glabra,dry,herb,Tropic,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_bulbifera,dry,herb,Tropic,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_cirrhosa,dry,wood,Tropic,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_alata,dry,herb,Absence,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_fordii,dry,herb,Tropic,Absence,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_decipiens,dry,herb,Tropic,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_birmanica,dry,herb,Absence,Temperate,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_nitens,dry,herb,Tropic,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_subcalva,dry,herb,Tropic,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_hispida,dry,herb,Tropic,Absence,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_pentaphylla,dry,herb,Tropic,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_arachidna,dry,herb,Tropic,Absence,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_esquirolii,dry,herb,Tropic,Absence,Absence,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_kamoonensis,dry,herb,Tropic,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Dioscorea_melanophyma,dry,herb,Tropic,Temperate,Subtropic,Dioscorea,Dioscoreaceae,Dioscoreales
Veratrum_mengtzeanum,dry,herb,Absence,Temperate,Absence,Veratrum,Melanthiaceae,Liliales
Veratrum_grandiflorum,dry,herb,Absence,Temperate,Absence,Veratrum,Melanthiaceae,Liliales
Veratrum_taliense,dry,herb,Absence,Temperate,Subtropic,Veratrum,Melanthiaceae,Liliales
Ypsilandra_yunnanensis,dry,herb,Absence,Temperate,Absence,Ypsilandra,Melanthiaceae,Liliales
Paris_rugosa,fleshy,herb,Absence,Temperate,Absence,Paris,Melanthiaceae,Liliales
Paris_forrestii,fleshy,herb,Absence,Temperate,Absence,Paris,Melanthiaceae,Liliales
Paris_dulongensis,fleshy,herb,Absence,Temperate,Absence,Paris,Melanthiaceae,Liliales
Paris_vietnamensis,fleshy,herb,Tropic,Absence,Subtropic,Paris,Melanthiaceae,Liliales
Trillium_tschonoskii,fleshy,herb,Absence,Temperate,Absence,Trillium,Melanthiaceae,Liliales
Paris_verticillata,fleshy,herb,Absence,Absence,Subtropic,Paris,Melanthiaceae,Liliales
Paris_thibetica,fleshy,herb,Absence,Temperate,Absence,Paris,Melanthiaceae,Liliales
Paris_mairei,fleshy,herb,Tropic,Temperate,Subtropic,Paris,Melanthiaceae,Liliales
Paris_polyphylla,fleshy,herb,Tropic,Temperate,Subtropic,Paris,Melanthiaceae,Liliales
Gloriosa_superba,fleshy,herb,Tropic,Absence,Absence,Gloriosa,Colchicaceae,Liliales
Disporum_bodinieri,fleshy,herb,Absence,Temperate,Absence,Disporum,Colchicaceae,Liliales
Disporum_trabeculatum,fleshy,herb,Absence,Absence,Subtropic,Disporum,Colchicaceae,Liliales
Disporum_calcaratum,fleshy,herb,Tropic,Absence,Absence,Disporum,Colchicaceae,Liliales
Disporum_cantoniense,fleshy,herb,Tropic,Temperate,Subtropic,Disporum,Colchicaceae,Liliales
Disporum_sessile,fleshy,herb,Absence,Temperate,Subtropic,Disporum,Colchicaceae,Liliales
Heterosmilax_japonica,fleshy,wood,Absence,Temperate,Subtropic,Heterosmilax,Smilacaceae,Liliales
Heterosmilax_chinensis,fleshy,wood,Absence,Absence,Subtropic,Heterosmilax,Smilacaceae,Liliales
Heterosmilax_yunnanensis,fleshy,wood,Tropic,Temperate,Subtropic,Heterosmilax,Smilacaceae,Liliales
Heterosmilax_septemnervia,fleshy,wood,Tropic,Absence,Absence,Heterosmilax,Smilacaceae,Liliales
Heterosmilax_longiflora,fleshy,wood,Tropic,Absence,Absence,Heterosmilax,Smilacaceae,Liliales
Heterosmilax_polyandra,fleshy,wood,Tropic,Absence,Subtropic,Heterosmilax,Smilacaceae,Liliales
Smilax_stans,fleshy,wood,Absence,Temperate,Absence,Smilax,Smilacaceae,Liliales
Smilax_scobinicaulis,fleshy,wood,Absence,Temperate,Absence,Smilax,Smilacaceae,Liliales
Smilax_megalantha,fleshy,wood,Absence,Temperate,Absence,Smilax,Smilacaceae,Liliales
Smilax_lushuiensis,fleshy,wood,Absence,Temperate,Absence,Smilax,Smilacaceae,Liliales
Smilax_jiankunii,fleshy,wood,Absence,Temperate,Absence,Smilax,Smilacaceae,Liliales
Smilax_cyclophylla,fleshy,wood,Absence,Temperate,Absence,Smilax,Smilacaceae,Liliales
Smilax_chingii,fleshy,wood,Absence,Temperate,Absence,Smilax,Smilacaceae,Liliales
Smilax_bapauensis,fleshy,wood,Absence,Temperate,Absence,Smilax,Smilacaceae,Liliales
Smilax_aspericaulis,fleshy,wood,Absence,Temperate,Absence,Smilax,Smilacaceae,Liliales
Smilax_lunglingensis,fleshy,wood,Absence,Temperate,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_lebrunii,fleshy,wood,Absence,Absence,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_chapaensis,fleshy,wood,Absence,Temperate,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_bibracteolata,fleshy,wood,Absence,Absence,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_yunnanensis,fleshy,wood,Tropic,Absence,Absence,Smilax,Smilacaceae,Liliales
Smilax_quadrata,fleshy,wood,Tropic,Absence,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_perfoliata,fleshy,wood,Tropic,Temperate,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_myrtillus,fleshy,wood,Tropic,Temperate,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_microphylla,fleshy,wood,Tropic,Temperate,Absence,Smilax,Smilacaceae,Liliales
Smilax_megacarpa,fleshy,wood,Tropic,Absence,Absence,Smilax,Smilacaceae,Liliales
Smilax_mairei,fleshy,wood,Tropic,Temperate,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_lanceifolia,fleshy,wood,Tropic,Temperate,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_hypoglauca,fleshy,wood,Tropic,Absence,Absence,Smilax,Smilacaceae,Liliales
Smilax_hemsleyana,fleshy,wood,Tropic,Temperate,Absence,Smilax,Smilacaceae,Liliales
Smilax_hayatae,fleshy,wood,Tropic,Absence,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_glabra,fleshy,wood,Tropic,Temperate,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_ferox,fleshy,wood,Tropic,Temperate,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_corbularia,fleshy,wood,Tropic,Absence,Absence,Smilax,Smilacaceae,Liliales
Smilax_cocculoides,fleshy,wood,Tropic,Absence,Absence,Smilax,Smilacaceae,Liliales
Smilax_bracteata,fleshy,wood,Tropic,Absence,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_arisanensis,fleshy,wood,Tropic,Absence,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_menispermoidea,fleshy,wood,Absence,Temperate,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_china,fleshy,wood,Tropic,Absence,Subtropic,Smilax,Smilacaceae,Liliales
Smilax_ocreata,fleshy,wood,Tropic,Absence,Subtropic,Smilax,Smilacaceae,Liliales
Lloydia_yunnanensis,dry,herb,Absence,Temperate,Absence,Lloydia,Liliaceae,Liliales
Lloydia_tibetica,dry,herb,Absence,Temperate,Absence,Lloydia,Liliaceae,Liliales
Lloydia_oxycarpa,dry,herb,Absence,Temperate,Absence,Lloydia,Liliaceae,Liliales
Lloydia_delavayi,dry,herb,Absence,Temperate,Absence,Lloydia,Liliaceae,Liliales
Lloydia_ixiolirioides,dry,herb,Absence,Temperate,Absence,Lloydia,Liliaceae,Liliales
Tricyrtis_maculata,dry,herb,Absence,Temperate,Absence,Tricyrtis,Liliaceae,Liliales
Streptopus_parviflorus,fleshy,herb,Absence,Temperate,Absence,Streptopus,Liliaceae,Liliales
Streptopus_simplex,fleshy,herb,Absence,Temperate,Subtropic,Streptopus,Liliaceae,Liliales
Clintonia_dulongensis,dry,herb,Absence,Temperate,Absence,Clintonia,Liliaceae,Liliales
Clintonia_udensis,dry,herb,Absence,Temperate,Absence,Clintonia,Liliaceae,Liliales
Notholirion_bulbuliferum,dry,herb,Tropic,Temperate,Absence,Notholirion,Liliaceae,Liliales
Cardiocrinum_giganteum,dry,herb,Absence,Temperate,Subtropic,Cardiocrinum,Liliaceae,Liliales
Fritillaria_delavayi,dry,herb,Absence,Temperate,Absence,Fritillaria,Liliaceae,Liliales
Fritillaria_crassicaulis,dry,herb,Absence,Temperate,Absence,Fritillaria,Liliaceae,Liliales
Fritillaria_cirrhosa,dry,herb,Absence,Temperate,Subtropic,Fritillaria,Liliaceae,Liliales
Lilium_stewartianum,dry,herb,Absence,Temperate,Absence,Lilium,Liliaceae,Liliales
Lilium_souliei,dry,herb,Absence,Temperate,Absence,Lilium,Liliaceae,Liliales
Lilium_sempervivoideum,dry,herb,Absence,Temperate,Absence,Lilium,Liliaceae,Liliales
Lilium_lophophorum,dry,herb,Absence,Temperate,Absence,Lilium,Liliaceae,Liliales
Lilium_lijiangense,dry,herb,Absence,Temperate,Absence,Lilium,Liliaceae,Liliales
Lilium_habaense,dry,herb,Absence,Temperate,Absence,Lilium,Liliaceae,Liliales
Lilium_duchartrei,dry,herb,Absence,Temperate,Absence,Lilium,Liliaceae,Liliales
Lilium_sulphureum,dry,herb,Absence,Absence,Subtropic,Lilium,Liliaceae,Liliales
Lilium_primulinum,dry,herb,Absence,Absence,Subtropic,Lilium,Liliaceae,Liliales
Lilium_nepalense,dry,herb,Absence,Temperate,Absence,Lilium,Liliaceae,Liliales
Lilium_brownii,dry,herb,Absence,Temperate,Subtropic,Lilium,Liliaceae,Liliales
Lilium_davidii,dry,herb,Absence,Temperate,Absence,Lilium,Liliaceae,Liliales
Nomocharis_meleagrina,dry,herb,Absence,Temperate,Absence,Nomocharis,Liliaceae,Liliales
Nomocharis_biluoensis,dry,herb,Absence,Temperate,Absence,Nomocharis,Liliaceae,Liliales
