NewID,OldID,Group,Family,Genus,Species,Life form,Leaf form,Site,Ynew,Xnew,Hmax,Hact,Ks,Kl,P50,Ppd,Pmd,TLP,AlAs,WD,Vdia,VD,VLmax,ALT,MAT,MAP,PET,AI,Soiltype,Ecotype,Biome,Note_Biome,
s0237,330,Ang,Platanaceae,Platanus,Platanus hydrid,T,D,s289,45.776,3.1441,40,20,,,-1.804,,,,,0.4952185,,,,344,10.9,618,930,0.6645,Cambisol,Western European broadleaf forests,TMR,,
s0238,331,Ang,Salicaceae,Populus,Populus alba,T,D,s289,45.776,3.1441,27,2,,,-1.52,,,,,,,,,344,10.9,618,930,0.6645,Cambisol,Western European broadleaf forests,TMR,,
s0239,332,Ang,Salicaceae,Populus,Populus nigra,T,D,s289,45.776,3.1441,30,15,,,-2.95,,,,,,,,,344,10.9,618,930,0.6645,Cambisol,Western European broadleaf forests,TMR,,
s0240,333,Ang,Salicaceae,Populus,Populus tremula,T,D,s287,45.717,3.05,20,17,,,-2.602,,,,,,29.56,,21,646,8.8,742,827,0.9201,Cambisol,Western European broadleaf forests,TMR,,
s0241,334,Ang,Rhamnaceae,Rhamnus,Rhamnus alaternus,S,E,s205,38.3269,-0.5292,5,2,,,-8.095,,,,,0.7370818,,,,23,18.2,334,1214,0.2751,Cambisol,Iberian sclerophyllous and semi-deciduous forests,WDS,,
s0242,335,Ang,Rhamnaceae,Rhamnus,Rhamnus lycioides,S,E,s205,38.3269,-0.5292,3,1,,,-8.4,,,,,0.7635582,,,,23,18.2,334,1214,0.2751,Cambisol,Iberian sclerophyllous and semi-deciduous forests,WDS,,
s0243,336,Ang,Grossulariaceae,Ribes,Ribes alpinum,S,D,s287,45.717,3.05,2,1,,,-3.565,,,,,0.5772021,,,,646,8.8,742,827,0.9201,Cambisol,Western European broadleaf forests,TMR,,
s0244,337,Ang,Lamiaceae,Rosmarinus,Rosmarinus officinalis,S,E,s205,38.3269,-0.5292,2,1,,,-9.402,,,,,0.5989361,,,,23,18.2,334,1214,0.2751,Cambisol,Iberian sclerophyllous and semi-deciduous forests,WDS,,
s0245,339,Ang,Salicaceae,Salix,Salix arenaria,S,D,s254,43.5065,-1.5,2,1,,,-2.315,,,,,0.467315,,,,23,13.9,1325,871,1.5304,Cambisol,Atlantic mixed forests,TMS,seasonal moist and dry broad-leaf forests,
s0246,340,Ang,Salicaceae,Salix,Salix caprea,T,D,s287,45.717,3.05,13,7,,,-1.9,,,,,,,,,646,8.8,742,827,0.9201,Cambisol,Western European broadleaf forests,TMR,,
s0247,341,Ang,Salicaceae,Salix,Salix cinerea,T,D,s289,45.776,3.1441,15,4,,,-1.985,,,,,0.4512541,,,,344,10.9,618,930,0.6645,Cambisol,Western European broadleaf forests,TMR,,
s0248,342,Ang,Salicaceae,Salix,Salix fragilis,T,D,s289,45.776,3.1441,29,15,,,-1.394,,,,,,,,,344,10.9,618,930,0.6645,Cambisol,Western European broadleaf forests,TMR,,
s0249,343,Ang,Salicaceae,Salix,Salix purpurea,S,D,s287,45.717,3.05,4,4,,,-1.973,,,,,0.4728004,47.2494,,,646,8.8,742,827,0.9201,Cambisol,Western European broadleaf forests,TMR,,
s0250,344,Ang,Adoxaceae,Sambucus,Sambucus nigra,S,D,s289,45.776,3.1441,10,5,,,-1.518,,,,,0.2825982,,,,344,10.9,618,930,0.6645,Cambisol,Western European broadleaf forests,TMR,,
s0251,345,Ang,Rosaceae,Sorbus,Sorbus aria,S,D,s287,45.717,3.05,20,10,,,-5.379,,,,,,,,,646,8.8,742,827,0.9201,Cambisol,Western European broadleaf forests,TMR,,
